customer_name,customer_group,territory,customer_type
Precision Metal Fabricators Pvt Ltd,Metal Fabrication,India,Company
Bharat Sheet Metal Works,Metal Fabrication,India,Company
Sunrise Engineering Works,Metal Fabrication,India,Company
Kirti Fabrication & Welding,Metal Fabrication,India,Company
Coastal Metal Works,Metal Fabrication,India,Company
Speedline Auto Body Works,Auto Body Shop,India,Company
Deluxe Car Care & Denting,Auto Body Shop,India,Company
Prime Auto Denting & Painting,Auto Body Shop,India,Company
Royal Furniture Craft Pvt Ltd,Furniture & Wood Workshop,India,Company
Woodcraft Interiors,Furniture & Wood Workshop,India,Company
Craftsman Woodworks Pvt Ltd,Furniture & Wood Workshop,India,Company
SteelShine Processors Pvt Ltd,Stainless Steel Processor,India,Company
Metro Stainless Steel Traders,Stainless Steel Processor,India,Company
Continental Steel Processors,Stainless Steel Processor,India,Company
Apex Abrasives Wholesalers,Wholesaler,India,Company
National Tool Distributors,Wholesaler,India,Company
Union Hardware & Abrasives Traders,Wholesaler,India,Company
Reliable Grinding Solutions,Wholesaler,India,Company
