customer_name,customer_group,territory,customer_type
Vertex Product Design,Design Studio,United States,Company
NovaTech Engineering,Engineering Firm,United States,Company
Apex Dental Solutions,Healthcare,United States,Company
Catalyst Robotics,Engineering Firm,United States,Company
BluePrint Studios,Design Studio,United States,Company
Nimbus Aerospace,Engineering Firm,United States,Company
Meridian Medical Devices,Healthcare,United States,Company
Crux Design Lab,Design Studio,United States,Company
Pinpoint Engineering,Engineering Firm,United States,Company
Axiom Innovations,Commercial,United States,Company
Summit Fabrication,Commercial,United States,Company
Forge Dynamics,Engineering Firm,United States,Company
