customer_name,customer_group,territory,customer_type
GreenFleet Solutions Pvt Ltd,Fleet Operators,India,Company
EcoRide Dealerships,Dealerships,India,Company
National Transport Corporation,Government,India,Company
Urban Mobility Services,Fleet Operators,India,Company
SwiftDelivery Logistics,Fleet Operators,India,Company
TechPark Commute Solutions,Corporate Clients,India,Company
BikeShare Urban Rentals,Dealerships,India,Company
Future Motors Retail,Dealerships,India,Company
CityGov Electric Fleet,Government,India,Company
Apex Corporate Transport,Corporate Clients,India,Company
RideGreen Export Ltd,Export Clients,Rest Of The World,Company
Pacific EV Distributors,Export Clients,Rest Of The World,Company
Horizon Fleet Management,Fleet Operators,India,Company
Volt Wheels Showroom,Dealerships,India,Company
Metro Transit Authority,Government,India,Company
