customer_name,customer_group,territory,customer_type
Greenfield Housing Society,Commercial,India,Company
TechPark Facilities Pvt Ltd,Commercial,India,Company
Maharashtra Agro Farms,Commercial,India,Company
Sunrise Hotels & Resorts,Commercial,India,Company
Government Medical College,Government,India,Company
Indus Industrial Zone,Commercial,India,Company
BlueStar Commercial Complex,Commercial,India,Company
Vidyasagar School Trust,Commercial,India,Company
Karnataka Irrigation Dept,Government,India,Company
Coastal Fisheries Cooperative,Commercial,India,Company
Rajasthan Rural Housing,Government,India,Company
Energy Efficient Homes Ltd,Commercial,India,Company
